sale_condition,groupA,groupB,groupC,title,price,date
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),900.0,2020-08-27
Auction,calculator,GPUs,Radeon VII,MSI AMD Radeon VII 16GB HBM2 Graphics Card (Radeon VII 16GB),700.0,2020-08-27
Auction,calculator,GPUs,Radeon VII,AMD Reference Radeon VII 16GB Graphics Card,820.0,2020-08-28
Auction,calculator,GPUs,Radeon VII,New Unopened XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),960.0,2020-08-28
Auction,calculator,GPUs,Radeon VII,ASRock Phantom Gaming AMD Radeon VII 16gb READ DESCRIPTION,350.0,2020-08-29
Auction,calculator,GPUs,Radeon VII,radeon vii 16gb hbm2,910.0,2020-08-29
Auction,calculator,GPUs,Radeon VII,PowerColor AMD Radeon VII 7 PC 16GB HBM2 Brand New,1025.0,2020-08-29
Auction,calculator,GPUs,Radeon VII,Phantom Gaming X Radeon VII 16G,860.0,2020-08-29
Auction,calculator,GPUs,Radeon VII,Used XFX AMD Radeon VII 16GB HBM2 Graphics Card,860.0,2020-08-30
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII Release Day Reference Card 16GB HBM2,980.0,2020-08-30
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB HBM2 PCI-E Graphics Card,315.0,2020-08-30
Auction,calculator,GPUs,Radeon VII,AMD ASRock Radeon VII 16GB  HBM2 Graphics Card (GPU),870.0,2020-08-30
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 50th Anniversary Edition (Red) 16GB HBM2 Graphics Card ,820.0,2020-08-30
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB HBM2 PCI-E Graphics Card (*PREOWNED*),830.0,2020-08-31
Auction,calculator,GPUs,Radeon VII,PowerColor AMD Radeon VII 16GB HBM2 Graphics Card (AXVII 16GBHBM2-3DH),650.0,2020-09-01
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card - Not Working,563.0,2020-09-01
Auction,calculator,GPUs,Radeon VII,AMD Radeon Vii - 16 GB 1 Tb/s Bandwidth (MSI),849.99,2020-09-02
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII Release Day Card 16GB HBM2,870.0,2020-09-03
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB HBM2 Graphics Card,1025.0,2020-09-04
Auction,calculator,GPUs,Radeon VII,Radeon VII 50th Anniversary Edition With AIO Cooler Mod,710.0,2020-09-04
Auction,calculator,GPUs,Radeon VII,Radeon VII Phantom Gaming X 16G,700.0,2020-09-04
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB with EK Waterblock + Stock Cooler,750.0,2020-09-05
Auction,calculator,GPUs,Radeon VII,ASRock AMD Radeon VII 16GB HBM2 Graphics Card PCIe3.0,675.0,2020-09-05
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),880.0,2020-09-05
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),800.0,2020-09-06
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB HBM2 Graphics Card GPU,1025.0,2020-09-06
Auction,calculator,GPUs,Radeon VII,AMD Radeon vii 16GB with EK Waterblock + Stock Cooler (Gently used) ,900.0,2020-09-06
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),875.0,2020-09-06
Auction,calculator,GPUs,Radeon VII,Sapphire AMD Radeon VII 16GB HBM2 Graphics Card,1025.0,2020-09-07
Auction,calculator,GPUs,Radeon VII,"Powercolor Radeon VII lightly used, original box, great condition",710.0,2020-09-07
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6) - Read Description,390.0,2020-09-07
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RX-VEGMA3) 3x DP 1x HDMI,916.0,2020-09-07
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB HBM2 PCI-E Graphics Card,660.0,2020-09-07
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB HBM2 PCI-E Graphics Card (*PREOWNED*),845.0,2020-09-07
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII Release Day Reference Card 16GB HBM2,870.0,2020-09-08
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB HBM2 PCI-E Graphics Card,800.0,2020-09-08
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB HBM2 Graphics Card - Read Desc. - Not Working,465.0,2020-09-08
Auction,calculator,GPUs,Radeon VII,Radeon VII 50th Anniversary Edition ,780.0,2020-09-08
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),730.0,2020-09-08
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),760.0,2020-09-08
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),843.0,2020-09-08
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII w/EK-Vector Radeon VII RGB - Nickel + Acetal and backplate,670.0,2020-09-09
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),800.0,2020-09-09
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB HBM2 Graphics Card（XFX） (RX-VEGMA3) 3xDP 1x HDMI,1237.0,2020-09-10
Auction,calculator,GPUs,Radeon VII,AMD ASRock Radeon VII 16GB HBM2 Graphics Card GPU,860.0,2020-09-10
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card ,650.0,2020-09-10
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII Release Day Card 16GB HBM2,738.0,2020-09-10
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB HBM2 Graphics Card WITH EK RGB Nickel Waterblock,759.0,2020-09-10
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RX-VEGMA3) 3x DP 1x HDMI,946.0,2020-09-10
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RX-VEGMA3) 3x DP 1x HDMI,967.0,2020-09-10
Auction,calculator,GPUs,Radeon VII,Bid For One Of The XFX AMD Radeon VII 16GB HBM2 Graphics Card In Pho,820.0,2020-09-11
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),807.0,2020-09-11
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB HBM2 Graphics Card - Preowned,825.0,2020-09-11
Auction,calculator,GPUs,Radeon VII,"Sapphire Radeon VII 16GB HBM2 - Lapped Cooler, Tests Better, Never Mined!",860.0,2020-09-11
Auction,calculator,GPUs,Radeon VII,"AMD Radeon VII 16GB HBM2 - Lightly Used, Never Used for Mining!",805.0,2020-09-11
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 50th Anniversary Edition (Red) 16GB HBM2 Graphics Card for parts,305.0,2020-09-12
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RX-VEGMA3) 3x DP 1x HDMI,820.0,2020-09-12
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 50th Anniversary Edition 16GB HBM2 GPU,780.0,2020-09-12
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB HBM2 Graphics Card Reference Model,779.16,2020-09-12
Auction,calculator,GPUs,Radeon VII,Amd Radeon VII Anniversary Edition Graphics Card 16gb HBM2 w/ Original Box,875.0,2020-09-12
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),785.0,2020-09-12
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6) PRE - OWNED,710.0,2020-09-12
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII REFERENCE Launch Edition 16GB HBM2 Graphics Card WIN10 and MacOS,839.0,2020-09-13
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card,770.0,2020-09-13
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),848.0,2020-09-13
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RX-VEGMA3) 3x DP 1x HDMI,810.0,2020-09-13
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII - EK Quantum Vector Water Block Nickel Acetal RGB Backplate 16GB,780.0,2020-09-14
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card,815.0,2020-09-14
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB HBM2 50th Anniversary Edition w/ EKWB RGB Vector Waterblock,710.0,2020-09-14
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6) GPU ,790.0,2020-09-14
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII Sapphire 16 GB HBM2 *Excellent Condition* Unmodded GPU,816.0,2020-09-14
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card - box included - perfect condition,910.0,2020-09-15
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),780.0,2020-09-15
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card - USED Please read description,800.0,2020-09-15
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB HBM2 PCI-E Graphics Card,800.0,2020-09-15
Auction,calculator,GPUs,Radeon VII,"XFX AMD Radeon VII 16GB HBM2 Graphics Card, with box, LIGHTLY USED, WATERBLOCK ",775.0,2020-09-16
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII with Alphacool Eiswolf GPX-A Pro MO2,700.0,2020-10-14
Auction,calculator,GPUs,Radeon VII,MSI Radeon VII 16GB HBM2 Graphics Card w/ Box,820.0,2020-10-14
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB HBM2 Graphics Card w/ EKWB & Original Box,680.0,2020-10-16
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB HBM2 Graphics Card (RADEONVII16G),720.0,2020-10-17
Auction,calculator,GPUs,Radeon VII,ASUS AMD Radeon VII 16GB HBM2 Graphics Card (RADEONVII-16G) works has warranty,820.0,2020-10-17
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card ,879.0,2020-10-18
Auction,calculator,GPUs,Radeon VII,AMD Sapphire Radeon VII 16GB Graphics Card - Certified Replacement from AMD ,799.0,2020-10-19
Auction,calculator,GPUs,Radeon VII,Sapphire AMD Radeon VII,782.0,2020-10-20
Auction,calculator,GPUs,Radeon VII,MSI AMD Radeon VII,808.0,2020-10-20
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII,784.0,2020-10-20
Auction,calculator,GPUs,Radeon VII,MSI AMD Radeon VII,750.0,2020-10-20
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB Graphics Card Unit,855.0,2020-10-21
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card. NO RESERVE.,817.0,2020-10-22
Auction,calculator,GPUs,Radeon VII,AMD Sapphire Radeon VII 16GB HBM2 PCI-E Graphics Card,700.0,2020-10-22
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),774.0,2020-10-23
Auction,calculator,GPUs,Radeon VII,Amd Radeon vii MSI,860.0,2020-10-23
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card - AS IS - Read Description,460.0,2020-10-23
Auction,calculator,GPUs,Radeon VII,Amd Radeon VII 16GB HBM2 Gold Edition,659.9,2020-10-24
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB HBM2 Graphics Card,513.65,2020-10-24
Auction,calculator,GPUs,Radeon VII,Amd Radeon VII 16GB HBM2 Gold Edition,650.0,2020-10-24
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB HBM2 Graphics Card,500.0,2020-10-24
Auction,calculator,GPUs,Radeon VII,SAPPHIRE AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),710.0,2020-10-24
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card,814.95,2020-10-25
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card,782.53,2020-10-25
Auction,calculator,GPUs,Radeon VII,PowerColor AMD Radeon VII 7 PC 16GB (1A1-G00313700G) Graphics Card *NOT WORKING*,171.5,2020-10-25
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card ,800.9,2020-10-25
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card,838.0,2020-10-25
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card,770.0,2020-10-25
Auction,calculator,GPUs,Radeon VII,PowerColor AMD Radeon VII 7 PC 16GB (1A1-G00313700G) Graphics Card *NOT WORKING*,185.5,2020-10-25
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card ,790.0,2020-10-25
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),732.01,2020-10-26
Auction,calculator,GPUs,Radeon VII, AMD XFX RADEON VII GRAPHICS CARD 16GB HBM2 RXVEGMA3FD6,740.0,2020-10-26
Auction,calculator,GPUs,Radeon VII,AMD Sapphire Radeon VII 16GB HBM2 PCI-E Graphics Card,292.5,2020-10-26
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),721.11,2020-10-26
Auction,calculator,GPUs,Radeon VII, AMD XFX RADEON VII GRAPHICS CARD 16GB HBM2 RXVEGMA3FD6,700.0,2020-10-26
Auction,calculator,GPUs,Radeon VII,AMD Sapphire Radeon VII 16GB HBM2 PCI-E Graphics Card,192.5,2020-10-26
Auction,calculator,GPUs,Radeon VII,Amd radeon vii 16gb hbm2,835.0,2020-10-27
Auction,calculator,GPUs,Radeon VII,AMD Sapphire Radeon VII 16GB HBM2 PCI-E Graphics Card,812.99,2020-10-27
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),811.9,2020-10-27
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),802.0,2020-10-27
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII with 16GB HBM2 Memory,684.99,2020-10-28
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII with 16GB HBM2 Memory,709.0,2020-10-28
Auction,calculator,GPUs,Radeon VII,2 Units Of radeon vii 16gb hbm2 Graphics Card (not Working),448.9,2020-10-29
Auction,calculator,GPUs,Radeon VII,Radeon VII with aio alpha cool cooler,365.0,2020-10-29
Auction,calculator,GPUs,Radeon VII,Radeon Vii 50th Anniversary For Parts,400.0,2020-10-29
Auction,calculator,GPUs,Radeon VII,2 Units Of radeon vii 16gb hbm2 Graphics Card (not Working),438.0,2020-10-29
Auction,calculator,GPUs,Radeon VII,Radeon VII with aio alpha cool cooler,300.0,2020-10-29
Auction,calculator,GPUs,Radeon VII,Amd Radeon Vii 16gb hbm2,425.0,2020-10-30
Auction,calculator,GPUs,Radeon VII,Amd Radeon Vii 16gb hbm2,400.0,2020-10-30
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 50th Anniversary (Red) 16GB HBM2 - AS IS - Read Description,797.77,2020-10-31
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII Graphics Card,875.0,2020-10-31
Auction,calculator,GPUs,Radeon VII,AMD Sapphire Radeon VII 16GB HBM2 PCI-E Graphics Card,795.0,2020-10-31
Auction,calculator,GPUs,Radeon VII,AMD Sapphire Radeon VII 16GB HBM2 PCI-E Graphics Card,370.0,2020-10-31
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card,778.95,2020-10-31
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),760.9,2020-10-31
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 50th Anniversary (Red) 16GB HBM2 - AS IS - Read Description,777.77,2020-10-31
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII Graphics Card,850.0,2020-10-31
Auction,calculator,GPUs,Radeon VII,AMD Sapphire Radeon VII 16GB HBM2 PCI-E Graphics Card,270.0,2020-10-31
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card,801.0,2020-10-31
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),750.0,2020-10-31
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card - AS IS - Read Description,430.0,2020-11-01
Auction,calculator,GPUs,Radeon VII,PowerColor AMD Radeon VII 7 PC 16GB (1A1-G00313700G) Graphics Card,758.25,2020-11-01
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),775.9,2020-11-01
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card ,835.9,2020-11-01
Auction,calculator,GPUs,Radeon VII,Amd Radeon vii MSI,730.0,2020-11-01
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card - AS IS - Read Description,414.0,2020-11-01
Auction,calculator,GPUs,Radeon VII,PowerColor AMD Radeon VII 7 PC 16GB (1A1-G00313700G) Graphics Card,741.0,2020-11-01
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),765.0,2020-11-01
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card ,825.0,2020-11-01
Auction,calculator,GPUs,Radeon VII,Amd Radeon vii MSI,700.0,2020-11-01
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB HBM2 Graphics Card,710.0,2020-11-02
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card ,808.14,2020-11-02
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB HBM2 Graphics Card,700.0,2020-11-02
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card ,838.0,2020-11-02
Auction,calculator,GPUs,Radeon VII,MSI Gaming Radeon VII 16GB 4096-bit HBM2 DP/HDMI Vega Architecture Graphics Card,741.7,2020-11-04
Auction,calculator,GPUs,Radeon VII,PowerColor AMD Radeon VII 7 PC 16GB (1A1-G00313700G) Graphics Card,653.0,2020-11-04
Auction,calculator,GPUs,Radeon VII,AMD Sapphire Radeon VII 16GB HBM2 PCI-E Graphics Card,640.0,2020-11-04
Auction,calculator,GPUs,Radeon VII,MSI Gaming Radeon VII 16GB 4096-bit HBM2 DP/HDMI Vega Architecture Graphics Card,715.0,2020-11-04
Auction,calculator,GPUs,Radeon VII,PowerColor AMD Radeon VII 7 PC 16GB (1A1-G00313700G) Graphics Card,635.0,2020-11-04
Auction,calculator,GPUs,Radeon VII,PowerColor AMD Radeon VII 7 PC 16GB (1A1-G00313700G) Graphics Card,612.8,2020-11-05
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),740.9,2020-11-05
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 GPU Pre-Owned / Never Overclocked/ Open To Offers,680.0,2020-11-05
Auction,calculator,GPUs,Radeon VII,Radeon Vii 50 Year Anniversary Fan Shroud ,283.25,2020-11-05
Auction,calculator,GPUs,Radeon VII,"AMD Radeon VII PCI-E Graphics Card - Used, in great, working condition",761.55,2020-11-05
Auction,calculator,GPUs,Radeon VII,PowerColor AMD Radeon VII 7 PC 16GB (1A1-G00313700G) Graphics Card,600.0,2020-11-05
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),730.0,2020-11-05
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 GPU Pre-Owned / Never Overclocked/ Open To Offers,650.0,2020-11-05
Auction,calculator,GPUs,Radeon VII,Radeon Vii 50 Year Anniversary Fan Shroud ,275.0,2020-11-05
Auction,calculator,GPUs,Radeon VII,"AMD Radeon VII PCI-E Graphics Card - Used, in great, working condition",785.0,2020-11-05
Auction,calculator,GPUs,Radeon VII,ASROCK AMD RADEON VII 16GB  90-GA1100-00UAN1W MAC COMPATIBLE,692.0,2020-11-06
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card with EKWB Water block,738.0,2020-11-06
Auction,calculator,GPUs,Radeon VII,ASROCK AMD RADEON VII 16GB New open box 90-GA1100-00UAN1W MAC COMPATIBLE,791.8,2020-11-06
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card GPU ,811.0,2020-11-06
Auction,calculator,GPUs,Radeon VII,ASROCK AMD RADEON VII 16GB  90-GA1100-00UAN1W MAC COMPATIBLE,670.0,2020-11-06
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card with EKWB Water block,761.0,2020-11-06
Auction,calculator,GPUs,Radeon VII,ASROCK AMD RADEON VII 16GB New open box 90-GA1100-00UAN1W MAC COMPATIBLE,825.0,2020-11-06
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card GPU ,796.0,2020-11-06
Auction,calculator,GPUs,Radeon VII,"AMD Radeon VII, slightly used perfect working condition",350.0,2020-11-07
Auction,calculator,GPUs,Radeon VII,PowerColor AMD Radeon VII 7 16GB HBM2 Graphics Card,729.89,2020-11-07
Auction,calculator,GPUs,Radeon VII,AMD ATI Radeon VII HBM2 16GB Graphics Card LIGHTLY USED,774.99,2020-11-07
Auction,calculator,GPUs,Radeon VII,"AMD Radeon VII with Morpheus II heatsink, fill-in PCI bracket",620.0,2020-11-07
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card with EKWB Water block,738.0,2020-11-07
Auction,calculator,GPUs,Radeon VII,AMD Sapphire Radeon VII 16GB HBM2 PCI-E Graphics Card,810.0,2020-11-07
Auction,calculator,GPUs,Radeon VII,AMD ATI Radeon VII HBM2 16GB Graphics Card LIGHTLY USED,760.0,2020-11-07
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card with EKWB Water block,761.0,2020-11-07
Auction,calculator,GPUs,Radeon VII,ASRock AMD Radeon VII 16GB GPU VR Ready - NEW IN BOX,690.9,2020-11-08
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII Graphics Card 16GB Open Box,741.55,2020-11-08
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),738.25,2020-11-08
Auction,calculator,GPUs,Radeon VII,GIGABYTE Radeon VII HBM2 16G HBM2 Graphics Card - 16GB,810.0,2020-11-08
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6) *for parts*,296.56,2020-11-08
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB GPU w/ Kraken G12 and EVGA CLC 120mm. FOR PARTS! READ!,252.5,2020-11-08
Auction,calculator,GPUs,Radeon VII,ASRock Phantom Gaming X Radeon VII 16G Graphics Card,640.0,2020-11-08
Auction,calculator,GPUs,Radeon VII,PowerColor AMD Radeon VII 7 PC 16GB (1A1-G00313700G) Graphics Card,640.0,2020-11-08
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),691.0,2020-11-08
Auction,calculator,GPUs,Radeon VII,ASRock AMD Radeon VII 16GB GPU VR Ready - NEW IN BOX,713.0,2020-11-08
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII Graphics Card 16GB Open Box,730.0,2020-11-08
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),726.0,2020-11-08
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6) *for parts*,267.36,2020-11-08
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB GPU w/ Kraken G12 and EVGA CLC 120mm. FOR PARTS! READ!,242.5,2020-11-08
Auction,calculator,GPUs,Radeon VII,ASRock Phantom Gaming X Radeon VII 16G Graphics Card,610.0,2020-11-08
Auction,calculator,GPUs,Radeon VII,PowerColor AMD Radeon VII 7 PC 16GB (1A1-G00313700G) Graphics Card,610.0,2020-11-08
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),661.0,2020-11-08
Auction,calculator,GPUs,Radeon VII,ASRock AMD Radeon VII 16GB GPU VR Ready - NEW IN BOX,680.0,2020-11-08
Auction,calculator,GPUs,Radeon VII,XFX AMD RADEON VII 16GB HBM2 GRAPHICS CARD | RX-VEGMA3FD6 | FACTORY SEALED,822.57,2020-11-09
Auction,calculator,GPUs,Radeon VII,XFX AMD Radeon VII 16GB HBM2 Graphics Card ,770.9,2020-11-09
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB HBM2 PCI-E Graphics Card *For Parts* *Not Working*,401.55,2020-11-10
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB HBM2 PCI-E Graphics Card *For Parts* *Not Working*,389.0,2020-11-10
Auction,calculator,GPUs,Radeon VII,Radeon Vii 50 Year Anniversary,929.2,2020-11-11
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII with 16GB HBM2 Memory,714.99,2020-11-11
Auction,calculator,GPUs,Radeon VII,"amd radeon vii 16gb hbm2, great condition, never used for mining",670.0,2020-11-11
Auction,calculator,GPUs,Radeon VII,Radeon Vii 50 Year Anniversary,900.0,2020-11-11
Auction,calculator,GPUs,Radeon VII,Sapphire AMD Radeon VII 16GB HBM2 with Original Box,798.49,2020-11-11
Auction,calculator,GPUs,Radeon VII,XFX Radeon VII reference 16GB HBM2 PCIe 3.0 x16 Graphics Card (RX vegma 3FD6) TOP!,768.43,2020-11-11
Auction,calculator,GPUs,Radeon VII,XFX RX-VEGMA3 AMD Radeon VII Graphics Card 16GB HBM2 PCI Express 3.0,851.87,2020-11-12
Auction,calculator,GPUs,Radeon VII,PowerColor AMD Radeon VII 7 16GB HBM2 Graphics Card,748.55,2020-11-13
Auction,calculator,GPUs,Radeon VII,AMD Radeon VII 16GB HBM2 PCI-E 7NM Graphics Card FreeSync 2 HDR VR Ready!!,774.55,2020-11-13
